Financial year,Local authority name,Region,Measure,Value,Units
2019-20,Camden,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.317,Score (between -0.8 and 1.0)
2019-20,Central Bedfordshire,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.404,Score (between -0.8 and 1.0)
2019-20,Cheshire East,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.438,Score (between -0.8 and 1.0)
2019-20,Cheshire West and Chester,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.381,Score (between -0.8 and 1.0)
2019-20,City of London,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0,Score (between -0.8 and 1.0)
2019-20,Cornwall,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.429,Score (between -0.8 and 1.0)
2019-20,County Durham,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.417,Score (between -0.8 and 1.0)
2019-20,Coventry,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.408,Score (between -0.8 and 1.0)
2019-20,Croydon,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.375,Score (between -0.8 and 1.0)
2019-20,Cumbria,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.435,Score (between -0.8 and 1.0)
2019-20,Darlington,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.432,Score (between -0.8 and 1.0)
2019-20,Derby,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.368,Score (between -0.8 and 1.0)
2019-20,Derbyshire,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.428,Score (between -0.8 and 1.0)
2019-20,Devon,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.408,Score (between -0.8 and 1.0)
2019-20,Doncaster,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.411,Score (between -0.8 and 1.0)
2019-20,Dorset,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.418,Score (between -0.8 and 1.0)
2019-20,Dudley,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.426,Score (between -0.8 and 1.0)
2019-20,Ealing,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.416,Score (between -0.8 and 1.0)
2019-20,East Riding of Yorkshire,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.405,Score (between -0.8 and 1.0)
2019-20,East Sussex,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.393,Score (between -0.8 and 1.0)
2019-20,Enfield,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.393,Score (between -0.8 and 1.0)
2019-20,Essex,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.407,Score (between -0.8 and 1.0)
2019-20,Gateshead,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.4,Score (between -0.8 and 1.0)
2019-20,Gloucestershire,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.406,Score (between -0.8 and 1.0)
2019-20,Greenwich,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.34,Score (between -0.8 and 1.0)
2019-20,Hackney,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.382,Score (between -0.8 and 1.0)
2019-20,Halton,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.428,Score (between -0.8 and 1.0)
2019-20,Hammersmith and Fulham,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.333,Score (between -0.8 and 1.0)
2019-20,Hampshire,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.422,Score (between -0.8 and 1.0)
2019-20,Haringey,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.384,Score (between -0.8 and 1.0)
2019-20,Harrow,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.377,Score (between -0.8 and 1.0)
2019-20,Hartlepool,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.398,Score (between -0.8 and 1.0)
2019-20,Havering,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.411,Score (between -0.8 and 1.0)
2019-20,Herefordshire,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.427,Score (between -0.8 and 1.0)
2019-20,Hertfordshire,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.428,Score (between -0.8 and 1.0)
2019-20,Hillingdon,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.379,Score (between -0.8 and 1.0)
2019-20,Hounslow,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.409,Score (between -0.8 and 1.0)
2019-20,Isle of Wight,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.417,Score (between -0.8 and 1.0)
2019-20,Isles of Scilly,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0,Score (between -0.8 and 1.0)
2019-20,Islington,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.382,Score (between -0.8 and 1.0)
2019-20,Kensington and Chelsea,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.338,Score (between -0.8 and 1.0)
2019-20,Kent,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0,Score (between -0.8 and 1.0)
2019-20,Kingston Upon Hull,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.406,Score (between -0.8 and 1.0)
2019-20,Kingston upon Thames,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.353,Score (between -0.8 and 1.0)
2019-20,Kirklees,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.416,Score (between -0.8 and 1.0)
2019-20,Knowsley,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.429,Score (between -0.8 and 1.0)
2019-20,Lambeth,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.367,Score (between -0.8 and 1.0)
2019-20,Lancashire,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.395,Score (between -0.8 and 1.0)
2019-20,Leeds,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.351,Score (between -0.8 and 1.0)
2019-20,Leicester,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.432,Score (between -0.8 and 1.0)
2019-20,Leicestershire,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.399,Score (between -0.8 and 1.0)
2019-20,Lewisham,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.4,Score (between -0.8 and 1.0)
2019-20,Lincolnshire,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.402,Score (between -0.8 and 1.0)
2019-20,Liverpool,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.403,Score (between -0.8 and 1.0)
2019-20,Luton,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.435,Score (between -0.8 and 1.0)
2019-20,Manchester,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.379,Score (between -0.8 and 1.0)
2019-20,Medway,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.394,Score (between -0.8 and 1.0)
2019-20,Merton,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.399,Score (between -0.8 and 1.0)
2019-20,Middlesbrough,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.417,Score (between -0.8 and 1.0)
2019-20,Milton Keynes,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.421,Score (between -0.8 and 1.0)
2019-20,Newcastle upon Tyne,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.392,Score (between -0.8 and 1.0)
2019-20,Newham,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.401,Score (between -0.8 and 1.0)
2019-20,Norfolk,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.413,Score (between -0.8 and 1.0)
2019-20,North East Lincolnshire,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.378,Score (between -0.8 and 1.0)
2019-20,North Lincolnshire,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.445,Score (between -0.8 and 1.0)
2019-20,North Somerset,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.402,Score (between -0.8 and 1.0)
2019-20,North Tyneside,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.417,Score (between -0.8 and 1.0)
2019-20,North Yorkshire,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.408,Score (between -0.8 and 1.0)
2019-20,Northamptonshire,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.424,Score (between -0.8 and 1.0)
2019-20,Northumberland,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.387,Score (between -0.8 and 1.0)
2019-20,Nottingham,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.383,Score (between -0.8 and 1.0)
2019-20,Nottinghamshire,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.389,Score (between -0.8 and 1.0)
2019-20,Oldham,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.395,Score (between -0.8 and 1.0)
2019-20,Oxfordshire,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.431,Score (between -0.8 and 1.0)
2019-20,Peterborough,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.429,Score (between -0.8 and 1.0)
2019-20,Plymouth,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.428,Score (between -0.8 and 1.0)
2019-20,Portsmouth,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.421,Score (between -0.8 and 1.0)
2019-20,Reading,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.376,Score (between -0.8 and 1.0)
2019-20,Redbridge,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.438,Score (between -0.8 and 1.0)
2019-20,Redcar and Cleveland,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.407,Score (between -0.8 and 1.0)
2019-20,Richmond upon Thames,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.412,Score (between -0.8 and 1.0)
2019-20,Rochdale,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.396,Score (between -0.8 and 1.0)
2019-20,Rotherham,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.394,Score (between -0.8 and 1.0)
2019-20,Rutland,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.416,Score (between -0.8 and 1.0)
2019-20,Salford,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.337,Score (between -0.8 and 1.0)
2019-20,Sandwell,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.456,Score (between -0.8 and 1.0)
2019-20,Sefton,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.42,Score (between -0.8 and 1.0)
2019-20,Sheffield,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.296,Score (between -0.8 and 1.0)
2019-20,Shropshire,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.425,Score (between -0.8 and 1.0)
2019-20,Slough,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.388,Score (between -0.8 and 1.0)
2019-20,Solihull,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.432,Score (between -0.8 and 1.0)
2019-20,Somerset,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.405,Score (between -0.8 and 1.0)
2019-20,South Gloucestershire,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.379,Score (between -0.8 and 1.0)
2019-20,South Tyneside,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.436,Score (between -0.8 and 1.0)
2019-20,Southampton,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.407,Score (between -0.8 and 1.0)
2019-20,Southend-on-Sea,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.384,Score (between -0.8 and 1.0)
2019-20,Southwark,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.379,Score (between -0.8 and 1.0)
2019-20,St. Helens,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.405,Score (between -0.8 and 1.0)
2019-20,Staffordshire,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.414,Score (between -0.8 and 1.0)
2019-20,Stockport,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.386,Score (between -0.8 and 1.0)
2019-20,Stockton-on-Tees,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.433,Score (between -0.8 and 1.0)
2019-20,Stoke-on-Trent,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.468,Score (between -0.8 and 1.0)
2019-20,Suffolk,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.424,Score (between -0.8 and 1.0)
2019-20,Sunderland,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.462,Score (between -0.8 and 1.0)
2019-20,Surrey,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.399,Score (between -0.8 and 1.0)
2019-20,Sutton,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.371,Score (between -0.8 and 1.0)
2019-20,Swindon,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.412,Score (between -0.8 and 1.0)
2019-20,Tameside,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.405,Score (between -0.8 and 1.0)
2019-20,Telford and Wrekin,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.436,Score (between -0.8 and 1.0)
2019-20,Thurrock,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.422,Score (between -0.8 and 1.0)
2019-20,Torbay,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.399,Score (between -0.8 and 1.0)
2019-20,Tower Hamlets,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.404,Score (between -0.8 and 1.0)
2019-20,Trafford,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0,Score (between -0.8 and 1.0)
2019-20,Wakefield,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.413,Score (between -0.8 and 1.0)
2019-20,Walsall,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.43,Score (between -0.8 and 1.0)
2019-20,Waltham Forest,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.357,Score (between -0.8 and 1.0)
2019-20,Wandsworth,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.376,Score (between -0.8 and 1.0)
2019-20,Warrington,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.41,Score (between -0.8 and 1.0)
2019-20,Warwickshire,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.442,Score (between -0.8 and 1.0)
2019-20,West Berkshire,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.421,Score (between -0.8 and 1.0)
2019-20,West Sussex,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.422,Score (between -0.8 and 1.0)
2019-20,Westminster,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.368,Score (between -0.8 and 1.0)
2019-20,Wigan,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.406,Score (between -0.8 and 1.0)
2019-20,Wiltshire,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.397,Score (between -0.8 and 1.0)
2019-20,Windsor and Maidenhead,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.394,Score (between -0.8 and 1.0)
2019-20,Wirral,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.377,Score (between -0.8 and 1.0)
2019-20,Wokingham,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0,Score (between -0.8 and 1.0)
2019-20,Wolverhampton,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.432,Score (between -0.8 and 1.0)
2019-20,Worcestershire,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.415,Score (between -0.8 and 1.0)
2019-20,York,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.408,Score (between -0.8 and 1.0)
2019-20,Barking and Dagenham,London,People who use services who found it easy to find information (Percentage),71,Percentage
2019-20,Barnet,London,People who use services who found it easy to find information (Percentage),68.3,Percentage
2019-20,Barnsley,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),69.7,Percentage
2019-20,Bath and North East Somerset,South West,People who use services who found it easy to find information (Percentage),69.4,Percentage
2019-20,Bedford,East of England,People who use services who found it easy to find information (Percentage),75.7,Percentage
2019-20,Bexley,London,People who use services who found it easy to find information (Percentage),72.9,Percentage
2019-20,Birmingham,West Midlands,People who use services who found it easy to find information (Percentage),60.8,Percentage
2019-20,Blackburn with Darwen,North West,People who use services who found it easy to find information (Percentage),64.5,Percentage
2019-20,Blackpool,North West,People who use services who found it easy to find information (Percentage),81.3,Percentage
2019-20,Bolton,North West,People who use services who found it easy to find information (Percentage),64,Percentage
2019-20,"Bournemouth, Christchurch and Poole",South West,People who use services who found it easy to find information (Percentage),68.7,Percentage
2019-20,Bracknell Forest,South East,People who use services who found it easy to find information (Percentage),77.1,Percentage
2019-20,Bradford,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),71.2,Percentage
2019-20,Brent,London,People who use services who found it easy to find information (Percentage),60.6,Percentage
2019-20,Brighton and Hove,South East,People who use services who found it easy to find information (Percentage),69.7,Percentage
2019-20,Bristol,South West,People who use services who found it easy to find information (Percentage),63.7,Percentage
2019-20,Bromley,London,People who use services who found it easy to find information (Percentage),74.6,Percentage
2019-20,Buckinghamshire,South East,People who use services who found it easy to find information (Percentage),62.3,Percentage
2019-20,Bury,North West,People who use services who found it easy to find information (Percentage),71.4,Percentage
2019-20,Calderdale,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),69,Percentage
2019-20,Cambridgeshire,East of England,People who use services who found it easy to find information (Percentage),66.8,Percentage
2019-20,Camden,London,People who use services who found it easy to find information (Percentage),66.3,Percentage
2019-20,Central Bedfordshire,East of England,People who use services who found it easy to find information (Percentage),70.9,Percentage
2019-20,Cheshire East,North West,People who use services who found it easy to find information (Percentage),69.4,Percentage
2019-20,Cheshire West and Chester,North West,People who use services who found it easy to find information (Percentage),69.3,Percentage
2019-20,City of London,London,People who use services who found it easy to find information (Percentage),-,Percentage
2019-20,Cornwall,South West,People who use services who found it easy to find information (Percentage),63.4,Percentage
2019-20,County Durham,North East,People who use services who found it easy to find information (Percentage),81.1,Percentage
2019-20,Coventry,West Midlands,People who use services who found it easy to find information (Percentage),69.8,Percentage
2019-20,Croydon,London,People who use services who found it easy to find information (Percentage),59.1,Percentage
2019-20,Cumbria,North West,People who use services who found it easy to find information (Percentage),74,Percentage
2019-20,Darlington,North East,People who use services who found it easy to find information (Percentage),69.1,Percentage
2019-20,Derby,East Midlands,People who use services who found it easy to find information (Percentage),63.6,Percentage
2019-20,Derbyshire,East Midlands,People who use services who found it easy to find information (Percentage),68.9,Percentage
2019-20,Devon,South West,People who use services who found it easy to find information (Percentage),64.4,Percentage
2019-20,Doncaster,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),74.7,Percentage
2019-20,Dorset,South West,People who use services who found it easy to find information (Percentage),71.1,Percentage
2019-20,Dudley,West Midlands,People who use services who found it easy to find information (Percentage),68.7,Percentage
2019-20,Ealing,London,People who use services who found it easy to find information (Percentage),60.7,Percentage
2019-20,East Riding of Yorkshire,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),68.6,Percentage
2019-20,East Sussex,South East,People who use services who found it easy to find information (Percentage),75.7,Percentage
2019-20,Enfield,London,People who use services who found it easy to find information (Percentage),69,Percentage
2019-20,Essex,East of England,People who use services who found it easy to find information (Percentage),65.6,Percentage
2019-20,Gateshead,North East,People who use services who found it easy to find information (Percentage),67.6,Percentage
2019-20,Gloucestershire,South West,People who use services who found it easy to find information (Percentage),72.8,Percentage
2019-20,Greenwich,London,People who use services who found it easy to find information (Percentage),63.8,Percentage
2019-20,Hackney,London,People who use services who found it easy to find information (Percentage),58.4,Percentage
2019-20,Halton,North West,People who use services who found it easy to find information (Percentage),79,Percentage
2019-20,Hammersmith and Fulham,London,People who use services who found it easy to find information (Percentage),58.7,Percentage
2019-20,Hampshire,South East,People who use services who found it easy to find information (Percentage),70.8,Percentage
2019-20,Haringey,London,People who use services who found it easy to find information (Percentage),67.5,Percentage
2019-20,Harrow,London,People who use services who found it easy to find information (Percentage),67.4,Percentage
2019-20,Hartlepool,North East,People who use services who found it easy to find information (Percentage),84.4,Percentage
2019-20,Havering,London,People who use services who found it easy to find information (Percentage),72.4,Percentage
2019-20,Herefordshire,West Midlands,People who use services who found it easy to find information (Percentage),70,Percentage
2019-20,Hertfordshire,East of England,People who use services who found it easy to find information (Percentage),75.5,Percentage
2019-20,Hillingdon,London,People who use services who found it easy to find information (Percentage),68.2,Percentage
2019-20,Hounslow,London,People who use services who found it easy to find information (Percentage),70.4,Percentage
2019-20,Isle of Wight,South East,People who use services who found it easy to find information (Percentage),70.5,Percentage
2019-20,Isles of Scilly,South West,People who use services who found it easy to find information (Percentage),-,Percentage
2019-20,Islington,London,People who use services who found it easy to find information (Percentage),67,Percentage
2019-20,Kensington and Chelsea,London,People who use services who found it easy to find information (Percentage),74.7,Percentage
2019-20,Kent,South East,People who use services who found it easy to find information (Percentage),-,Percentage
2019-20,Kingston Upon Hull,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),67.3,Percentage
2019-20,Kingston upon Thames,London,People who use services who found it easy to find information (Percentage),71.8,Percentage
2019-20,Kirklees,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),65.8,Percentage
2019-20,Knowsley,North West,People who use services who found it easy to find information (Percentage),73.2,Percentage
2019-20,Lambeth,London,People who use services who found it easy to find information (Percentage),57.4,Percentage
2019-20,Lancashire,North West,People who use services who found it easy to find information (Percentage),69.4,Percentage
2019-20,Leeds,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),71.5,Percentage
2019-20,Leicester,East Midlands,People who use services who found it easy to find information (Percentage),68.2,Percentage
2019-20,Leicestershire,East Midlands,People who use services who found it easy to find information (Percentage),61.5,Percentage
2019-20,Lewisham,London,People who use services who found it easy to find information (Percentage),74.4,Percentage
2019-20,Lincolnshire,East Midlands,People who use services who found it easy to find information (Percentage),70.6,Percentage
2019-20,Liverpool,North West,People who use services who found it easy to find information (Percentage),70.5,Percentage
2019-20,Luton,East of England,People who use services who found it easy to find information (Percentage),65.4,Percentage
2019-20,Manchester,North West,People who use services who found it easy to find information (Percentage),68.9,Percentage
2019-20,Medway,South East,People who use services who found it easy to find information (Percentage),57.7,Percentage
2019-20,Merton,London,People who use services who found it easy to find information (Percentage),70.1,Percentage
2019-20,Middlesbrough,North East,People who use services who found it easy to find information (Percentage),71.7,Percentage
2019-20,Milton Keynes,South East,People who use services who found it easy to find information (Percentage),67.7,Percentage
2019-20,Newcastle upon Tyne,North East,People who use services who found it easy to find information (Percentage),70,Percentage
2019-20,Newham,London,People who use services who found it easy to find information (Percentage),67.2,Percentage
2019-20,Norfolk,East of England,People who use services who found it easy to find information (Percentage),68.8,Percentage
2019-20,North East Lincolnshire,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),64.9,Percentage
2019-20,North Lincolnshire,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),67.1,Percentage
2019-20,North Somerset,South West,People who use services who found it easy to find information (Percentage),73,Percentage
2019-20,North Tyneside,North East,People who use services who found it easy to find information (Percentage),76.4,Percentage
2019-20,North Yorkshire,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),74.1,Percentage
2019-20,Northamptonshire,East Midlands,People who use services who found it easy to find information (Percentage),69.3,Percentage
2019-20,Northumberland,North East,People who use services who found it easy to find information (Percentage),76.3,Percentage
2019-20,Nottingham,East Midlands,People who use services who found it easy to find information (Percentage),70.7,Percentage
2019-20,Nottinghamshire,East Midlands,People who use services who found it easy to find information (Percentage),61.1,Percentage
2019-20,Oldham,North West,People who use services who found it easy to find information (Percentage),64.6,Percentage
2019-20,Oxfordshire,South East,People who use services who found it easy to find information (Percentage),68.2,Percentage
2019-20,Peterborough,East of England,People who use services who found it easy to find information (Percentage),72.1,Percentage
2019-20,Plymouth,South West,People who use services who found it easy to find information (Percentage),65.1,Percentage
2019-20,Portsmouth,South East,People who use services who found it easy to find information (Percentage),77.4,Percentage
2019-20,Reading,South East,People who use services who found it easy to find information (Percentage),62.1,Percentage
2019-20,Redbridge,London,People who use services who found it easy to find information (Percentage),64.9,Percentage
2019-20,Redcar and Cleveland,North East,People who use services who found it easy to find information (Percentage),75.6,Percentage
2019-20,Richmond upon Thames,London,People who use services who found it easy to find information (Percentage),73.5,Percentage
2019-20,Rochdale,North West,People who use services who found it easy to find information (Percentage),73,Percentage
2019-20,Rotherham,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),56.4,Percentage
2019-20,Rutland,East Midlands,People who use services who found it easy to find information (Percentage),81.6,Percentage
2019-20,Salford,North West,People who use services who found it easy to find information (Percentage),69.2,Percentage
2019-20,Sandwell,West Midlands,People who use services who found it easy to find information (Percentage),75.9,Percentage
2019-20,Sefton,North West,People who use services who found it easy to find information (Percentage),66.2,Percentage
2019-20,Sheffield,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),63.9,Percentage
2019-20,Shropshire,West Midlands,People who use services who found it easy to find information (Percentage),75.5,Percentage
2019-20,Slough,South East,People who use services who found it easy to find information (Percentage),59.5,Percentage
2019-20,Solihull,West Midlands,People who use services who found it easy to find information (Percentage),68,Percentage
2019-20,Somerset,South West,People who use services who found it easy to find information (Percentage),66.9,Percentage
2019-20,South Gloucestershire,South West,People who use services who found it easy to find information (Percentage),67,Percentage
2019-20,South Tyneside,North East,People who use services who found it easy to find information (Percentage),69.4,Percentage
2019-20,Southampton,South East,People who use services who found it easy to find information (Percentage),63.9,Percentage
2019-20,Southend-on-Sea,East of England,People who use services who found it easy to find information (Percentage),70.2,Percentage
2019-20,Southwark,London,People who use services who found it easy to find information (Percentage),61.1,Percentage
2019-20,St. Helens,North West,People who use services who found it easy to find information (Percentage),73,Percentage
2019-20,Staffordshire,West Midlands,People who use services who found it easy to find information (Percentage),64.8,Percentage
2019-20,Stockport,North West,People who use services who found it easy to find information (Percentage),68.5,Percentage
2019-20,Stockton-on-Tees,North East,People who use services who found it easy to find information (Percentage),68,Percentage
2019-20,Stoke-on-Trent,West Midlands,People who use services who found it easy to find information (Percentage),67.9,Percentage
2019-20,Suffolk,East of England,People who use services who found it easy to find information (Percentage),69.2,Percentage
2019-20,Sunderland,North East,People who use services who found it easy to find information (Percentage),70.6,Percentage
2019-20,Surrey,South East,People who use services who found it easy to find information (Percentage),68.4,Percentage
2019-20,Sutton,London,People who use services who found it easy to find information (Percentage),62,Percentage
2019-20,Swindon,South West,People who use services who found it easy to find information (Percentage),82,Percentage
2019-20,Tameside,North West,People who use services who found it easy to find information (Percentage),70.6,Percentage
2019-20,Telford and Wrekin,West Midlands,People who use services who found it easy to find information (Percentage),56.3,Percentage
2019-20,Thurrock,East of England,People who use services who found it easy to find information (Percentage),68.8,Percentage
2019-20,Torbay,South West,People who use services who found it easy to find information (Percentage),72.5,Percentage
2019-20,Tower Hamlets,London,People who use services who found it easy to find information (Percentage),68.1,Percentage
2019-20,Trafford,North West,People who use services who found it easy to find information (Percentage),77.3,Percentage
2019-20,Wakefield,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),63.2,Percentage
2019-20,Walsall,West Midlands,People who use services who found it easy to find information (Percentage),70.7,Percentage
2019-20,Waltham Forest,London,People who use services who found it easy to find information (Percentage),58.1,Percentage
